Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Darly Nlandu,fr FRA,"MF,FW",Excel Mouscron,20,2000,5.2,,2,,,,,,,,,,,2,,,,BelgianProLeague
Lukas Nmecha,de GER,FW,Anderlecht,21,1998,29.0,,21,,,,,,,,,,,3,,,,BelgianProLeague
Casper de Norre,be BEL,"DF,MF",OH Leuven,23,1997,22.4,,43,,,,,,,,,,,42,,,,BelgianProLeague
Marius Noubissi,cm CMR,FW,Beerschot,23,1996,11.0,,1,,,,,,,,,,,1,,,,BelgianProLeague
Bruny Nsimba,be BEL,FW,Antwerp,20,2000,1.9,,0,,,,,,,,,,,0,,,,BelgianProLeague
Isaac Nuhu,gh GHA,"MF,FW",Eupen,18,2002,4.0,,0,,,,,,,,,,,4,,,,BelgianProLeague
Manaf Nurudeen,gh GHA,GK,Eupen,21,1999,1.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Benjamin Nygren,se SWE,FW,Genk,19,2001,0.9,,1,,,,,,,,,,,2,,,,BelgianProLeague
Eric Ocansey,gh GHA,"MF,FW",Kortrijk,22,1997,27.1,,33,,,,,,,,,,,49,,,,BelgianProLeague
David Okereke,ng NGA,"FW,MF",Club Brugge,22,1997,8.8,,7,,,,,,,,,,,3,,,,BelgianProLeague
Joshua Okpoda Eppiah,be BEL,FW,OH Leuven,21,1998,2.1,,5,,,,,,,,,,,2,,,,BelgianProLeague
Jean Onana,cm CMR,MF,Excel Mouscron,20,2000,25.4,,52,,,,,,,,,,,48,,,,BelgianProLeague
Dylan Ouédraogo,bf BFA,DF,OH Leuven,22,1998,7.6,,4,,,,,,,,,,,7,,,,BelgianProLeague
Elisha Owusu,gh GHA,MF,Gent,22,1997,16.8,,28,,,,,,,,,,,27,,,,BelgianProLeague
Luca Oyen,be BEL,"MF,FW",Genk,17,2003,5.7,,5,,,,,,,,,,,1,,,,BelgianProLeague
Ante Palaversa,hr CRO,MF,Kortrijk,20,2000,5.4,,12,,,,,,,,,,,7,,,,BelgianProLeague
Mathéo Parmentier,be BEL,MF,Gent,17,2002,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Evangelos Patoulidis,be BEL,DF,Oostende,18,2001,1.1,,4,,,,,,,,,,,1,,,,BelgianProLeague
Louis Patris,be BEL,DF,OH Leuven,19,2001,2.0,,6,,,,,,,,,,,9,,,,BelgianProLeague
Damjan Pavlovic,rs SRB,"MF,DF",Standard Liège,19,2001,2.8,,11,,,,,,,,,,,2,,,,BelgianProLeague
Strahinja Pavlović,rs SRB,DF,Cercle Brugge,19,2001,10.7,,21,,,,,,,,,,,17,,,,BelgianProLeague
Daniel Perez,ve VEN,FW,Club Brugge,18,2002,1.8,,0,,,,,,,,,,,1,,,,BelgianProLeague
Ewoud Pletinckx,be BEL,"DF,MF",Zulte Waregem,19,2000,12.5,,24,,,,,,,,,,,12,,,,BelgianProLeague
Virgiliu Postolachi,md MDA,FW,Excel Mouscron,20,2000,3.2,,1,,,,,,,,,,,2,,,,BelgianProLeague
Ángelo Preciado,ec ECU,"MF,DF",Genk,22,1998,5.9,,8,,,,,,,,,,,8,,,,BelgianProLeague
Robbe Quirynen,be BEL,DF,Excel Mouscron,18,2001,6.8,,16,,,,,,,,,,,10,,,,BelgianProLeague
Stipe Radić,hr CRO,DF,Beerschot,20,2000,8.7,,3,,,,,,,,,,,21,,,,BelgianProLeague
Toon Raemaekers,be BEL,DF,OH Leuven,19,2000,8.0,,6,,,,,,,,,,,7,,,,BelgianProLeague
Nicolas Raskin,be BEL,MF,Standard Liège,19,2001,26.0,,51,,,,,,,,,,,28,,,,BelgianProLeague
Serge Raux Yao,fr FRA,DF,Cercle Brugge,21,1999,1.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Tom Reyners,be BEL,"FW,MF",Waasland-Bev,20,2000,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Lucas Ribeiro,br BRA,MF,Charleroi,21,1998,1.2,,5,,,,,,,,,,,0,,,,BelgianProLeague
Loïc Ritière,be BEL,DF,Kortrijk,19,2001,0.8,,0,,,,,,,,,,,0,,,,BelgianProLeague
Fashion Sakala,zm ZAM,FW,Oostende,23,1997,24.2,,14,,,,,,,,,,,4,,,,BelgianProLeague
Albert Sambi Lokonga,be BEL,MF,Anderlecht,20,1999,26.5,,34,,,,,,,,,,,55,,,,BelgianProLeague
Matisse Samoise,be BEL,MF,Gent,18,2001,0.4,,0,,,,,,,,,,,1,,,,BelgianProLeague
Abdoulie Sanyang,gm GAM,"MF,FW",Beerschot,21,1999,8.0,,20,,,,,,,,,,,2,,,,BelgianProLeague
Killian Sardella,be BEL,DF,Anderlecht,18,2002,12.0,,12,,,,,,,,,,,20,,,,BelgianProLeague
Brendan Schoonbaert,be BEL,DF,Waasland-Bev,20,2000,21.3,,41,,,,,,,,,,,36,,,,BelgianProLeague
Jur Schryvers,be BEL,"MF,DF",Waasland-Bev,23,1997,18.2,,22,,,,,,,,,,,17,,,,BelgianProLeague
Lee Seung-woo,kr KOR,"MF,FW",Sint-Truiden,22,1998,6.8,,7,,,,,,,,,,,1,,,,BelgianProLeague
Maryan Shved,ua UKR,"MF,FW",Mechelen,23,1997,8.7,,13,,,,,,,,,,,8,,,,BelgianProLeague
Elias Sierra,be BEL,MF,Genk,18,2001,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Leonardo da Silva Lopes,pt POR,MF,Cercle Brugge,21,1998,10.6,,11,,,,,,,,,,,15,,,,BelgianProLeague
Danel Sinani,lu LUX,"MF,FW",Waasland-Bev,23,1997,12.2,,17,,,,,,,,,,,13,,,,BelgianProLeague
Hugo Siquet,be BEL,"DF,MF",Standard Liège,18,2002,13.3,,37,,,,,,,,,,,20,,,,BelgianProLeague
Abdoulaye Sissako,fr FRA,"MF,DF",Zulte Waregem,22,1998,7.1,,11,,,,,,,,,,,14,,,,BelgianProLeague
Moussa Sissako,ml MLI,DF,Standard Liège,19,2000,5.0,,9,,,,,,,,,,,13,,,,BelgianProLeague
Sambou Sissoko,ml MLI,MF,Kortrijk,20,2000,1.9,,4,,,,,,,,,,,4,,,,BelgianProLeague
Mikael Soisalo,fi FIN,DF,Zulte Waregem,22,1998,0.7,,0,,,,,,,,,,,1,,,,BelgianProLeague
