Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Álex Martín,es ESP,DF,Cartagena,22,1998,14,13,"1,175",13.1,1,1,2,1,0,0,2,1,0.08,0.08,0.15,0.08,0.15
Andrés Martín,es ESP,"MF,FW",Rayo Vallecano,21,1999,38,16,"1,715",19.1,4,5,9,4,0,0,3,0,0.21,0.26,0.47,0.21,0.47
Iván Martín,es ESP,"MF,FW",CD Mirandés,21,1999,33,30,"2,669",29.7,4,6,10,4,0,0,1,1,0.13,0.20,0.34,0.13,0.34
Arnau Martinez,es ESP,DF,Girona,17,2003,12,12,"1,080",12.0,1,2,3,1,0,0,0,0,0.08,0.17,0.25,0.08,0.25
Julio Martínez,es ESP,MF,Málaga,19,2000,12,2,221,2.5,0,1,1,0,0,0,2,0,0.00,0.41,0.41,0.00,0.41
Pablo Martínez,es ESP,"MF,FW",CD Mirandés,22,1998,38,32,"2,729",30.3,3,1,4,3,0,0,4,0,0.10,0.03,0.13,0.10,0.13
Iván Martos,es ESP,DF,Almería,23,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Iván Martos,es ESP,DF,Rayo Vallecano,23,1997,12,7,640,7.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Jordi Mboula,es ESP,"MF,FW",Mallorca,21,1999,29,14,"1,294",14.4,1,3,4,1,0,0,5,0,0.07,0.21,0.28,0.07,0.28
Josua Mejías,ve VEN,DF,Málaga,22,1997,21,20,"1,573",17.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Óscar Melendo,es ESP,"MF,FW",Espanyol,22,1997,28,22,"1,511",16.8,2,1,3,2,0,0,0,0,0.12,0.06,0.18,0.12,0.18
Claudio Mendes,gw GNB,FW,Las Palmas,19,2000,16,3,383,4.3,1,1,2,1,0,0,4,0,0.23,0.23,0.47,0.23,0.47
Pedro Mendes,pt POR,FW,Almería,20,1999,10,2,240,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nacho Méndez,es ESP,MF,Sporting Gijón,22,1998,23,13,"1,167",13.0,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08
Víctor Meseguer,es ESP,MF,CD Mirandés,21,1999,38,34,"2,980",33.1,3,1,4,3,0,0,8,0,0.09,0.03,0.12,0.09,0.12
Yaroslav Meykher,ua UKR,GK,UD Logroñés,20,2000,4,3,304,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Javier Mier,es ESP,"MF,FW",Oviedo,21,1999,24,14,"1,271",14.1,1,2,3,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21
Miguel,es ESP,FW,Leganés,20,1999,24,9,821,9.1,5,3,8,5,0,0,1,0,0.55,0.33,0.88,0.55,0.88
Pau Miguélez,es ESP,MF,Las Palmas,21,1999,3,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bogdan Milovanov,ua UKR,DF,Sporting Gijón,22,1998,23,21,"1,880",20.9,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05
Mini,es ESP,MF,Málaga,21,1999,3,1,82,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Victor Mollejo,es ESP,"MF,FW",Mallorca,19,2001,10,4,361,4.0,2,0,2,2,0,0,2,0,0.50,0.00,0.50,0.50,0.50
Monchu,es ESP,MF,Girona,20,1999,39,34,"2,940",32.7,3,1,4,3,0,0,6,2,0.09,0.03,0.12,0.09,0.12
Eric Monjonell,es ESP,DF,Girona,18,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
