Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Georginio Rutter,fr FRA,FW,Hoffenheim,20,2002,11.2,7.0,4,1.0,4.0,2.0,1.0,3.0,33.3,2.0,10.0,2.0,8.0,5,12.0,6.0,0.0,Bundesliga,2022-2023
Dikeni-Rafid Salifou,tg TOG,MF,Werder Bremen,19,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Sidi Sané,de GER,FW,Schalke 04,19,2003,0.3,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Bundesliga,2022-2023
Joe Scally,us USA,DF,Gladbach,19,2002,24.5,31.0,20,25.0,5.0,1.0,24.0,31.0,77.4,7.0,17.0,6.0,11.0,8,39.0,61.0,0.0,Bundesliga,2022-2023
Kevin Schade,de GER,"FW,MF",Freiburg,20,2001,2.0,6.0,4,3.0,2.0,1.0,3.0,5.0,60.0,2.0,0.0,0.0,0.0,0,6.0,2.0,0.0,Bundesliga,2022-2023
András Schäfer,hu HUN,MF,Union Berlin,23,1999,9.6,21.0,9,7.0,12.0,2.0,6.0,14.0,42.9,8.0,12.0,2.0,10.0,4,25.0,11.0,0.0,Bundesliga,2022-2023
Derry Scherhant,de GER,"FW,MF",Hertha BSC,19,2002,3.2,7.0,6,3.0,3.0,1.0,4.0,8.0,50.0,4.0,3.0,0.0,3.0,0,7.0,5.0,0.0,Bundesliga,2022-2023
Nico Schlotterbeck,de GER,DF,Dortmund,22,1999,25.0,59.0,34,34.0,24.0,1.0,37.0,53.0,69.8,16.0,38.0,21.0,17.0,32,91.0,71.0,1.0,Bundesliga,2022-2023
Romano Schmid,at AUT,"MF,FW",Werder Bremen,22,2000,16.9,24.0,15,5.0,13.0,6.0,10.0,22.0,45.5,12.0,21.0,3.0,18.0,7,31.0,12.0,0.0,Bundesliga,2022-2023
Kenneth Schmidt,de GER,DF,Freiburg,20,2002,2.8,6.0,3,4.0,2.0,0.0,5.0,6.0,83.3,1.0,4.0,2.0,2.0,0,6.0,2.0,0.0,Bundesliga,2022-2023
